Date,Division,Department,Category,Budget_Amount,Actual_Amount,Currency,Project_Code,Responsible_Manager,Quarter
2024-01-15,Sales,Field Sales,Personnel,85000,87200,EUR,PROJ001,Mary Martin,Q1 2024
2024-01-15,Sales,Field Sales,Travel,15000,14500,EUR,PROJ001,Mary Martin,Q1 2024
2024-01-15,Sales,Digital Sales,Software,25000,26800,EUR,PROJ002,Peter Williams,Q1 2024
2024-01-15,Marketing,Digital Marketing,Advertising,120000,115000,EUR,PROJ003,Sophie Johnson,Q1 2024
2024-01-15,Marketing,Brand Marketing,Events,45000,52000,EUR,PROJ004,Anthony Davis,Q1 2024
2024-01-15,IT,Cybersecurity,Software,75000,73500,EUR,PROJ005,Thomas Brown,Q1 2024
2024-01-15,IT,Infrastructure,Hardware,95000,98000,EUR,PROJ006,Julie Miller,Q1 2024
2024-01-15,HR,Recruitment,Services,35000,32000,EUR,PROJ007,Michael Wilson,Q1 2024
2024-01-15,HR,Training,Training,28000,30500,EUR,PROJ008,Catherine Moore,Q1 2024
2024-01-15,Finance,Accounting,Software,18000,17500,EUR,PROJ009,David Taylor,Q1 2024
2024-02-15,Sales,Field Sales,Personnel,85000,86500,EUR,PROJ001,Mary Martin,Q1 2024
2024-02-15,Sales,Field Sales,Travel,15000,16200,EUR,PROJ001,Mary Martin,Q1 2024
2024-02-15,Sales,Digital Sales,Software,25000,24800,EUR,PROJ002,Peter Williams,Q1 2024
2024-02-15,Marketing,Digital Marketing,Advertising,120000,125000,EUR,PROJ003,Sophie Johnson,Q1 2024
2024-02-15,Marketing,Brand Marketing,Events,45000,41000,EUR,PROJ004,Anthony Davis,Q1 2024
2024-02-15,IT,Cybersecurity,Software,75000,76000,EUR,PROJ005,Thomas Brown,Q1 2024
2024-02-15,IT,Infrastructure,Hardware,95000,92000,EUR,PROJ006,Julie Miller,Q1 2024
2024-02-15,HR,Recruitment,Services,35000,38000,EUR,PROJ007,Michael Wilson,Q1 2024
2024-02-15,HR,Training,Training,28000,27500,EUR,PROJ008,Catherine Moore,Q1 2024
2024-02-15,Finance,Accounting,Software,18000,18200,EUR,PROJ009,David Taylor,Q1 2024
2024-03-15,Sales,Field Sales,Personnel,85000,89000,EUR,PROJ001,Marie Martin,Q1 2024
2024-03-15,Sales,Field Sales,Travel,15000,18500,EUR,PROJ001,Marie Martin,Q1 2024
2024-03-15,Sales,Digital Sales,Software,25000,23500,EUR,PROJ002,Pierre Dubois,Q1 2024
2024-03-15,Marketing,Digital Marketing,Advertising,120000,128000,EUR,PROJ003,Sophie Leroy,Q1 2024
2024-03-15,Marketing,Brand Marketing,Events,45000,47500,EUR,PROJ004,Antoine Bernard,Q1 2024
2024-03-15,IT,Cybersecurity,Software,75000,71000,EUR,PROJ005,Thomas Moreau,Q1 2024
2024-03-15,IT,Infrastructure,Hardware,95000,96500,EUR,PROJ006,Julie Petit,Q1 2024
2024-03-15,HR,Recruitment,Services,35000,34000,EUR,PROJ007,Michel Laurent,Q1 2024
2024-03-15,HR,Training,Training,28000,29000,EUR,PROJ008,Camille Simon,Q1 2024
2024-03-15,Finance,Accounting,Software,18000,17800,EUR,PROJ009,David Roux,Q1 2024
2024-04-15,Sales,Field Sales,Personnel,88000,91000,EUR,PROJ010,Marie Martin,Q2 2024
2024-04-15,Sales,Field Sales,Travel,16000,17800,EUR,PROJ010,Marie Martin,Q2 2024
2024-04-15,Sales,Digital Sales,Software,27000,28500,EUR,PROJ011,Pierre Dubois,Q2 2024
2024-04-15,Marketing,Digital Marketing,Advertising,130000,135000,EUR,PROJ012,Sophie Leroy,Q2 2024
2024-04-15,Marketing,Brand Marketing,Events,50000,48000,EUR,PROJ013,Antoine Bernard,Q2 2024
2024-04-15,IT,Cybersecurity,Software,80000,82000,EUR,PROJ014,Thomas Moreau,Q2 2024
2024-04-15,IT,Infrastructure,Hardware,100000,105000,EUR,PROJ015,Julie Petit,Q2 2024
2024-04-15,HR,Recruitment,Services,40000,42000,EUR,PROJ016,Michel Laurent,Q2 2024
2024-04-15,HR,Training,Training,30000,28500,EUR,PROJ017,Camille Simon,Q2 2024
2024-04-15,Finance,Accounting,Software,20000,19500,EUR,PROJ018,David Roux,Q2 2024
2024-05-15,Sales,Field Sales,Personnel,88000,87500,EUR,PROJ010,Marie Martin,Q2 2024
2024-05-15,Sales,Field Sales,Travel,16000,15200,EUR,PROJ010,Marie Martin,Q2 2024
2024-05-15,Sales,Digital Sales,Software,27000,26000,EUR,PROJ011,Pierre Dubois,Q2 2024
2024-05-15,Marketing,Digital Marketing,Advertising,130000,142000,EUR,PROJ012,Sophie Leroy,Q2 2024
2024-05-15,Marketing,Brand Marketing,Events,50000,53000,EUR,PROJ013,Antoine Bernard,Q2 2024
2024-05-15,IT,Cybersecurity,Software,80000,78500,EUR,PROJ014,Thomas Moreau,Q2 2024
2024-05-15,IT,Infrastructure,Hardware,100000,98000,EUR,PROJ015,Julie Petit,Q2 2024
2024-05-15,HR,Recruitment,Services,40000,39000,EUR,PROJ016,Michel Laurent,Q2 2024
2024-05-15,HR,Training,Training,30000,31500,EUR,PROJ017,Camille Simon,Q2 2024
2024-05-15,Finance,Accounting,Software,20000,20500,EUR,PROJ018,David Roux,Q2 2024
2024-06-15,Sales,Field Sales,Personnel,88000,92000,EUR,PROJ010,Marie Martin,Q2 2024
2024-06-15,Sales,Field Sales,Travel,16000,18000,EUR,PROJ010,Marie Martin,Q2 2024
2024-06-15,Sales,Digital Sales,Software,27000,25500,EUR,PROJ011,Pierre Dubois,Q2 2024
2024-06-15,Marketing,Digital Marketing,Advertising,130000,138000,EUR,PROJ012,Sophie Leroy,Q2 2024
2024-06-15,Marketing,Brand Marketing,Events,50000,46000,EUR,PROJ013,Antoine Bernard,Q2 2024
2024-06-15,IT,Cybersecurity,Software,80000,83000,EUR,PROJ014,Thomas Moreau,Q2 2024
2024-06-15,IT,Infrastructure,Hardware,100000,102000,EUR,PROJ015,Julie Petit,Q2 2024
2024-06-15,HR,Recruitment,Services,40000,41500,EUR,PROJ016,Michel Laurent,Q2 2024
2024-06-15,HR,Training,Training,30000,29000,EUR,PROJ017,Camille Simon,Q2 2024
2024-06-15,Finance,Accounting,Software,20000,19800,EUR,PROJ018,David Roux,Q2 2024
2024-07-15,Sales,Field Sales,Personnel,90000,93500,EUR,PROJ019,Marie Martin,Q3 2024
2024-07-15,Sales,Field Sales,Travel,18000,19500,EUR,PROJ019,Marie Martin,Q3 2024
2024-07-15,Sales,Digital Sales,Software,30000,31000,EUR,PROJ020,Pierre Dubois,Q3 2024
2024-07-15,Marketing,Digital Marketing,Advertising,140000,145000,EUR,PROJ021,Sophie Leroy,Q3 2024
2024-07-15,Marketing,Brand Marketing,Events,55000,58000,EUR,PROJ022,Antoine Bernard,Q3 2024
2024-07-15,IT,Cybersecurity,Software,85000,87000,EUR,PROJ023,Thomas Moreau,Q3 2024
2024-07-15,IT,Infrastructure,Hardware,110000,115000,EUR,PROJ024,Julie Petit,Q3 2024
2024-07-15,HR,Recruitment,Services,45000,43000,EUR,PROJ025,Michel Laurent,Q3 2024
2024-07-15,HR,Training,Training,32000,34000,EUR,PROJ026,Camille Simon,Q3 2024
2024-07-15,Finance,Accounting,Software,22000,21500,EUR,PROJ027,David Roux,Q3 2024
2024-08-15,Sales,Field Sales,Personnel,90000,88000,EUR,PROJ019,Marie Martin,Q3 2024
2024-08-15,Sales,Field Sales,Travel,18000,16500,EUR,PROJ019,Marie Martin,Q3 2024
2024-08-15,Sales,Digital Sales,Software,30000,29500,EUR,PROJ020,Pierre Dubois,Q3 2024
2024-08-15,Marketing,Digital Marketing,Advertising,140000,148000,EUR,PROJ021,Sophie Leroy,Q3 2024
2024-08-15,Marketing,Brand Marketing,Events,55000,52000,EUR,PROJ022,Antoine Bernard,Q3 2024
2024-08-15,IT,Cybersecurity,Software,85000,82000,EUR,PROJ023,Thomas Moreau,Q3 2024
2024-08-15,IT,Infrastructure,Hardware,110000,108000,EUR,PROJ024,Julie Petit,Q3 2024
2024-08-15,HR,Recruitment,Services,45000,47000,EUR,PROJ025,Michel Laurent,Q3 2024
2024-08-15,HR,Training,Training,32000,31000,EUR,PROJ026,Camille Simon,Q3 2024
2024-08-15,Finance,Accounting,Software,22000,22500,EUR,PROJ027,David Roux,Q3 2024
2024-09-15,Sales,Field Sales,Personnel,90000,94000,EUR,PROJ019,Marie Martin,Q3 2024
2024-09-15,Sales,Field Sales,Travel,18000,20000,EUR,PROJ019,Marie Martin,Q3 2024
2024-09-15,Sales,Digital Sales,Software,30000,28000,EUR,PROJ020,Pierre Dubois,Q3 2024
2024-09-15,Marketing,Digital Marketing,Advertising,140000,152000,EUR,PROJ021,Sophie Leroy,Q3 2024
2024-09-15,Marketing,Brand Marketing,Events,55000,57000,EUR,PROJ022,Antoine Bernard,Q3 2024
2024-09-15,IT,Cybersecurity,Software,85000,86500,EUR,PROJ023,Thomas Moreau,Q3 2024
2024-09-15,IT,Infrastructure,Hardware,110000,112000,EUR,PROJ024,Julie Petit,Q3 2024
2024-09-15,HR,Recruitment,Services,45000,44000,EUR,PROJ025,Michel Laurent,Q3 2024
2024-09-15,HR,Training,Training,32000,33500,EUR,PROJ026,Camille Simon,Q3 2024
2024-09-15,Finance,Accounting,Software,22000,21800,EUR,PROJ027,David Roux,Q3 2024
2024-10-15,Sales,Field Sales,Personnel,92000,95000,EUR,PROJ028,Marie Martin,Q4 2024
2024-10-15,Sales,Field Sales,Travel,20000,21500,EUR,PROJ028,Marie Martin,Q4 2024
2024-10-15,Sales,Digital Sales,Software,32000,33500,EUR,PROJ029,Pierre Dubois,Q4 2024
2024-10-15,Marketing,Digital Marketing,Advertising,150000,155000,EUR,PROJ030,Sophie Leroy,Q4 2024
2024-10-15,Marketing,Brand Marketing,Events,60000,62000,EUR,PROJ031,Antoine Bernard,Q4 2024
2024-10-15,IT,Cybersecurity,Software,90000,92000,EUR,PROJ032,Thomas Moreau,Q4 2024
2024-10-15,IT,Infrastructure,Hardware,120000,125000,EUR,PROJ033,Julie Petit,Q4 2024
2024-10-15,HR,Recruitment,Services,50000,48000,EUR,PROJ034,Michel Laurent,Q4 2024
2024-10-15,HR,Training,Training,35000,37000,EUR,PROJ035,Camille Simon,Q4 2024
2024-10-15,Finance,Accounting,Software,25000,24500,EUR,PROJ036,David Roux,Q4 2024
2024-11-15,Sales,Field Sales,Personnel,92000,89000,EUR,PROJ028,Marie Martin,Q4 2024
2024-11-15,Sales,Field Sales,Travel,20000,18500,EUR,PROJ028,Marie Martin,Q4 2024
2024-11-15,Sales,Digital Sales,Software,32000,31000,EUR,PROJ029,Pierre Dubois,Q4 2024
