Rgpt New Report,Detail,Supplier,Rgpt 2,Rgpt EURSI,Zone,Fcst 24 tx 24,Fcst 25 tx 25,fcst 26x forecast taux 25,company,Domain,DOMAIN,SL,Sourcing DB currency,Company currency,Dashboard currency Use,Generic suContracts,Reference Name of t Contract,Domain
NA,NA,3,3,2,EMEA,9.255,61.72,95.693,415 - ABC,ASSI,BS,,USD,EUR,EUR,BSS-Train SA-MS3C-20200123,415 - ABC BSS-Train,BS
NA,BS,0,1,4,APAC,37.848,93.507,20.129,414 - SML,ASSI,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20080502,414 - SML BSS-Taxes,BS
NA,XX,4,3,3,AMERICAS,58.408,90.982,35.048,415 - ABC,FIN,BS,,USD,EUR,EUR,BSS-Senio SA-MS3C-20250326,415 - ABC BSS-Senio,BS
OK,XX,2,0,0,APAC,75.451,6.487,36.601,414 - SML,ASSI,BS,,USD,EUR,USD,BSS-Senio SA-MS3C-20110414,414 - SML BSS-Senio,BS
NA,BS,3,4,3,EMEA,67.257,43.441,25.913,415 - ABC,FIN,BS,,BRL,BRL,USD,BSS-Taxes SA-MS3C-20080718,415 - ABC BSS-Taxes,BS
NA,NA,5,5,0,EMEA,7.802,78.79,24.339,414 - SML,FIN,BS,,EUR,BRL,USD,BSS-Config SA-MS3C-20171223,414 - SML BSS-Config,BS
OK,XX,5,3,1,APAC,55.999,44.986,84.649,414 - SML,FIN,BS,,BRL,BRL,USD,BSS-Sawl SA-MS3C-20200422,414 - SML BSS-Sawl,BS
OK,BS,3,1,0,EMEA,66.944,61.175,12.163,416 - XYZ,ASSI,BS,,USD,EUR,EUR,BSS-Travel SA-MS3C-20080123,416 - XYZ BSS-Travel,BS
OK,NA,5,3,5,AMERICAS,50.656,######,14.325,416 - XYZ,OPS,BS,,EUR,BRL,USD,BSS-Sawl SA-MS3C-20090219,416 - XYZ BSS-Sawl,BS
OK,XX,4,1,4,AMERICAS,17.617,43.255,87.974,415 - ABC,FIN,BS,,EUR,USD,USD,BSS-Taxes SA-MS3C-20051120,415 - ABC BSS-Taxes,BS
NA,BS,1,5,4,AMERICAS,50.479,32.056,46.72,414 - SML,FIN,BS,,BRL,BRL,USD,BSS-Travel SA-MS3C-20180625,414 - SML BSS-Travel,BS
OK,BS,2,0,3,APAC,37.18,89.779,16.119,414 - SML,FIN,BS,,BRL,USD,USD,BSS-Other SA-MS3C-20200308,414 - SML BSS-Other,BS
NA,XX,0,0,5,EMEA,35.942,32.404,30.278,414 - SML,OPS,BS,,BRL,USD,USD,BSS-Thom SA-MS3C-20170210,414 - SML BSS-Thom,BS
OK,NA,4,1,1,APAC,77.193,12.604,7.635,416 - XYZ,OPS,BS,,USD,EUR,USD,BSS-Taxes SA-MS3C-20250611,416 - XYZ BSS-Taxes,BS
NA,BS,4,5,1,AMERICAS,8.618,92.469,57.672,415 - ABC,OPS,BS,,BRL,BRL,EUR,BSS-Taxes SA-MS3C-20180204,415 - ABC BSS-Taxes,BS
NA,XX,5,0,0,APAC,89.132,20.85,87.118,416 - XYZ,OPS,BS,,EUR,EUR,USD,BSS-Taxes SA-MS3C-20050214,416 - XYZ BSS-Taxes,BS
OK,XX,0,2,0,APAC,59.078,8.818,65.817,414 - SML,ASSI,BS,,EUR,BRL,EUR,BSS-Config SA-MS3C-20091220,414 - SML BSS-Config,BS
OK,XX,2,4,5,AMERICAS,65.935,92.782,57.113,416 - XYZ,FIN,BS,,USD,BRL,EUR,BSS-Other SA-MS3C-20240407,416 - XYZ BSS-Other,BS
OK,BS,3,0,3,APAC,36.659,71.613,32.788,416 - XYZ,ASSI,BS,,EUR,BRL,USD,BSS-Senio SA-MS3C-20140428,416 - XYZ BSS-Senio,BS
NA,XX,0,2,1,AMERICAS,19.766,90.741,21.504,414 - SML,OPS,BS,,BRL,BRL,USD,BSS-Sawl SA-MS3C-20250602,414 - SML BSS-Sawl,BS
