SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,Supplier Number,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
WBZHW LZV INC,DIR,DEV,Salaries,GL,Apex Innovations Ltd,6458708,RIO,14320G,7950,200,N87_FE_F,MAJ20_Cascade_FE_F,MIN0970,1472 Allocation unpaid intra group invoices by companies from South America,MX_839_PL_USD,Cost Management,Adjustment,36,Leading Edge Technologies,MXN,CAD,799981.64,123.72,0,522.47,0,2023/06/19,2024/04/29,2025/08/25
WBZHW LZV INC,IN,NET,Telecom Data,INV,Nexus Enterprise Holdings,6060000,GRU,14680C,7950,723,N11_MASA_F,MAJ09_General_Overhead_F,MIN0840,1472 Allocation unpaid intra group invoices by companies from South America,US_415_PL_USD,Recurring,GL_Accrual_Auto_Reversal,15,Essential Services Co,GBP,CAD,573903.62,469.67,0,353.28,0,2023/01/05,2023/11/05,2023/11/17
TKGZK KDB INC,BSS,Infra - Projects,Capitalized production (PRIM),PO,Quantum Dynamics Group,6115700,GRU,14562Z,7956,723,N24_FE_MISC_INCOME_F,MAJ16_Restructuring,MIN0230,1436 ISIT Infra Service Line EUX (End User Experience),BR_414_PL_BRL,Assets,GL_Financial_AutoReversal,14,Superior Technologies Inc,BRL,MXN,392988.89,196.4,0,76.59,0,2023/09/25,2024/03/24,2025/10/23
LCGRH DQH INC,MQ,MASS ALLOC,Telecom Data,PO,Nexus Enterprise Holdings,9820291,CGR,14580B,7950,409,N24_FE_MISC_INCOME_F,MAJ02_Prod_Maint_Wages_V,MIN2040,1468 ISIT BSS Management,,Assets,Reclass,11,Global Tech Solutions,CAD,CAD,406312.69,440.27,0,525.82,0,2024/12/20,2025/10/03,2025/10/23
NOMJO FNX INC,IN,QPO,Internal,PA,Quantum Dynamics Group,9840205,RIO,14320H,7956,409,N21_FE_V,MAJ05_Maintenance_V,MIN0430,1452 ISIT Infra Management,MX_839_PL_MXN,CLL F189 INTEGRATED RCV,Interface,30,Quality Components Ltd,USD,USD,137807.1,857.67,0,566.82,0,2023/03/01,2024/12/30,2025/04/02
VWKWB ZAI INC,DIR,EC,Purchases,INV,Quantum Dynamics Group,6456101,CGR,14320F,7956,200,N97_FE_F,MAJ21_Allocation_DORD,MIN0830,1458 ISIT BSS Entreprises Services (ES),MX_839_PL_USD,,Debit Memos,14,Superior Technologies Inc,BRL,BRL,154753.32,272.15,0,473.44,0,2025/02/02,2025/03/22,2025/07/25
OVIES IKB INC,DIR,EUX,Capitalized production (PRIM),AP,Nexus Enterprise Holdings,6877100,MTC,98281C,7950,567,N81_MASA_F,MAJ06_Utilities_Energy_V,MIN0810,1464 ISIT BSS Research & development (RD),,MICH_CAW_GLJRNLINTF,Reclass,23,Excellence Manufacturing,EUR,MXN,381300.74,702.4,0,965.15,0,2025/10/05,2025/10/23,2025/10/25
QYENC CFR INC,IN,NET,Capitalized production (PRIM),GL,Meridian Solutions Corp,6453000,GRU,14600B,7956,723,N93_ENERGY_V,MAJ16_Restructuring,MIN2005,1462 ISIT BSS Production Sytems (PS),MX_839_PL_MXN,Assets,GL_Intercompany_Reversal,5,Innovation Systems Ltd,CAD,USD,458877.52,986.69,0,223.93,0,2023/10/06,2024/11/27,2025/04/09
QXMYB RGJ INC,MQ,ACC,External Resources,PO,Nexus Enterprise Holdings,6431000,DDD,96500N,7950,723,N81_MASA_F,MAJ11_Income,MIN0970,1452 ISIT Infra Management,,,Usage Cost,50,Progressive Technologies,MXN,CAD,689094.03,906.2,0,51.48,0,2023/10/17,2024/12/28,2025/05/05
AJNEH ONP INC,IN,Group ES,Invoices sent,GL,TechnoGlobal Industries,6448715,LAV,14600A,7956,415,N22_FE_F,MAJ11_Income,MIN0965,9828 Other operational expenses & revenue non allocated,,Manual,GL_Accrual_Auto_Reversal,15,Quality First Industries,EUR,MXN,468430.3,122.81,0,254.21,0,2024/02/19,2024/07/23,2024/08/20
GYTRC WED INC,DIR,OTHER OP,Depreciation,GL,Apex Innovations Ltd,6418701,MAN,14562Z,7950,415,N99_DEPRECIATION_F,MAJ09_General_Overhead_F,MIN2071,1434 ISIT Method & Quality,US_415_PL_USD,MassAllocation,Retirement,37,Advanced Materials Group,EUR,USD,-2525.9,436.81,0,71.23,0,2023/11/29,2025/04/27,2025/06/03
KOIOV PQY INC,IN,D1 DAP,Invoices sent,INV,Apex Innovations Ltd,6240200,CGR,14640A,7956,723,N91_MASA_F,MAJ16_Restructuring,MIN0210,1462 ISIT BSS Production Sytems (PS),MX_589_PL_MXN,CLL F189 INTEGRATED RCV,GL_Intercompany,33,Superior Technologies Inc,BRL,CAD,210179.86,764.7,0,759.36,0,2025/10/18,2025/11/01,2025/11/01
NBAAC XUX INC,BSS,EC,Internal,AP,Meridian Solutions Corp,6468700,MXA,14520A,7950,409,N10_MASA_V,MAJ09_Travel_F,MIN2040,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_USD,,Reclass,49,Universal Supply Chain,CAD,MXN,375076.81,52.56,0,70.77,0,2025/07/14,2025/11/01,2025/11/01
HHQNQ ILD INC,IN,ACC,Purchases,AP,Meridian Solutions Corp,9419100,RES,14440A,7956,200,N10_MASA_V,MAJ20_Allocation_FE_F,MIN0230,1444 ISIT Infra Service Line NET (Network),,Cost Management,Interface,37,Optimal Distribution Co,BRL,BRL,349610.48,876.83,0,133.1,0,2023/09/01,2024/06/22,2025/06/11
SPMPQ XRH INC,BSS,Security,Telecom Voice,GL,Meridian Solutions Corp,6477100,MAN,14720A,7950,796,N24_FE_MISC_INCOME_F,MAJ09_General_Overhead_V,MIN0940,1464 ISIT BSS Research & development (RD),US_415_PL_USD,,Freight,34,Strategic Industries Inc,USD,BRL,314214.96,76.98,0,383.07,0,2024/02/27,2025/01/13,2025/10/09
HFSOU GPS INC,IN,OPEN,Taxes,AP,Meridian Solutions Corp,6748000,LAV,98281C,7950,200,N81_MASA_F,MAJ16_FA_Disposal,MIN0936,1448 ISIT Infra Transverse operations (GOM),US_415_PL_USD,,Labor Cost,24,Certified Distribution Corp,MXN,CAD,997903.12,460.32,0,910.49,0,2023/10/17,2025/04/17,2025/09/06
GJDXG BUB INC,DIR,DEV,Travels,PO,TechnoGlobal Industries,6870100,PP1,14340A,7950,415,N11_MASA_F,MAJ08_Industrial_Supplies_V,MIN1010,9650 Other operational expenses & revenues,MX_839_PL_MXN,Manual,Write-off,49,Superior Technologies Inc,MXN,USD,706795.12,457.88,0,209.86,0,2024/03/03,2025/02/21,2025/03/13
DJHUR TWQ INC,MQ,GOSM,Depreciation,GL,Meridian Solutions Corp,6153005,MXA,14562Z,7950,567,N87_FE_F,MAJ04_Salary_Labor_F,MIN2043,1440 ISIT Infra Data centre & applications platforms (DAP),MX_839_PL_USD,,GL_AutoPrepa_AutoReverse,31,Optimal Distribution Co,GBP,MXN,855133.61,813.16,0,211.29,0,2023/03/15,2025/07/29,2025/08/31
FHYZJ CAE INC,MQ,GOSM,Telecom Voice,INV,Nexus Enterprise Holdings,6447710,RIO,14320H,7950,0,N91_MASA_F,MAJ06_Utilities_Energy_V,MIN0210,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_USD,Receivables,Debit Memos,36,Universal Products LLC,EUR,MXN,506568.74,419.09,0,333.2,0,2023/10/31,2025/10/13,2025/10/14
QYENC CFR INC,DIR,Maestro,Maintenance & Rental,PA,Apex Innovations Ltd,6437201,DDD,14480A,7956,511,N30_ENERGY_V,MAJ20_Cascade_ENERGY_V,MIN0930,1462 ISIT BSS Production Sytems (PS),CA_407_PL_CAD,Spreadsheet,GL_Accrual_Auto_Reversal,6,Strategic Components LLC,BRL,BRL,395877.42,999.77,0,13.66,0,2024/08/19,2025/01/12,2025/07/10
ODSQK XHJ INC,MQ,Group EC,Taxes,GL,Apex Innovations Ltd,9840201,PP1,14340A,7956,511,N91_MASA_F,MAJ20_Cascade_ENERGY_V,MIN0435,1452 ISIT Infra Management,,Payables,GL_AutoPrepa_AutoReverse,49,First Class Services Ltd,BRL,MXN,411453.91,328.83,0,422.59,0,2024/06/06,2025/05/04,2025/08/19
ACQYH OMH INC,DIR,EUX,Training,PA,Meridian Solutions Corp,6743000,MXA,14360A,7950,723,N94_ENERGY_F,MAJ16_FA_Disposal,MIN0230,1452 ISIT Infra Management,MX_839_PL_USD,Assets,REC,35,Prime Logistics Partners,MXN,BRL,561134.04,542.11,0,660.98,0,2025/09/29,2025/10/06,2025/10/06
AHHFA AEA INC,BSS,ES,Telecom Voice,PO,Nexus Enterprise Holdings,6731000,MAN,14520A,7950,0,N24_FE_MISC_INCOME_F,MAJ05_Maintenance_F,MIN0920,1434 ISIT Method & Quality,CA_407_PL_CAD,Cost Management,Debit Memos,42,Standard Industries Inc,USD,MXN,942929.92,489.48,0,957.25,0,2024/08/31,2024/11/17,2024/11/18
ADTAC NGC INC,DIR,Communications,Capitalized production (PRIM),GL,Nexus Enterprise Holdings,6447105,RES,14660A,7956,0,N11_MASA_F,MAJ11_Income,MIN0955,1464 ISIT BSS Research & development (RD),US_415_PL_USD,Spreadsheet,GL_Intercompany_Reversal,21,Modern Solutions LLC,USD,BRL,489423.45,768.77,0,493.51,0,2025/03/21,2025/10/12,2025/10/15
