SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,SupplierNumber,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
MXAXR WJA INC,IN,D1 DAP,Training,AP,Nexus Enterprise Holdings,6417204,GRU,14580B,7956,567,N81_MASA_F,MAJ16_Restructuring,MIN2005,9815 Expenses to be reinvoiced or reallocated,MX_589_PL_MXN,Payables,GL_Intercompany_Reversal,49,Optimal Distribution Co,EUR,BRL,958637.12,854.89,0,109.48,0,11/11/2023,01/15/2025,10/21/2025
DQVKN WPP INC,BSS,MF,Capitalized production (PRIM),PA,Apex Innovations Ltd,6117000,MAN,14400A,7950,567,N30_ENERGY_V,MAJ11_Income,MIN0918,1448 ISIT Infra Transverse operations (GOM),MX_589_PL_MXN,,Inventory,39,Integrated Solutions Ltd,GBP,CAD,869321.62,128.73,0,556.79,0,02/19/2024,03/21/2024,12/03/2024
ADTAC NGC INC,IN,GOSM,Internal,GL,Apex Innovations Ltd,6076700,RIO,14560B,7956,796,N23_FE_TRAVEL_F,MAJ09_General_Overhead_F,MIN0210,1432 ISIT Region Direction,BR_414_PL_BRL,MICH_EPW_GLJRNLINTF,GL_Tax,14,Innovation Industries Corp,BRL,USD,405570.65,137.24,0,753.68,0,11/08/2023,06/09/2025,09/11/2025
LUBYA EVA INC,IN,NET,Other expenses,GL,TechnoGlobal Industries,6311100,RES,14480A,7956,511,N70_DEPRECIATION_F,MAJ05_Maintenance_F,MIN0520,1434 ISIT Method & Quality,CA_407_PL_CAD,Assets,Misc Receipts,23,First Class Manufacturing,EUR,CAD,963238.07,123.37,0,917.49,0,03/31/2025,06/07/2025,07/05/2025
MJDYZ ZFD INC,BSS,GOSM,Other expenses,GL,TechnoGlobal Industries,6021015,LAV,14400C,7956,796,N22_FE_F,MAJ20_Cascade_MASA_F,MIN0925,1472 Allocation unpaid intra group invoices by companies from South America,CA_407_PL_CAD,Assets,Purchase Invoices,15,Global Tech Solutions,BRL,BRL,186091.19,77.49,0,605.61,0,10/14/2025,10/14/2025,10/20/2025
NMOTI VQG INC,BSS,Security,Salaries,AP,Nexus Enterprise Holdings,6078100,RES,14680C,7956,200,N87_FE_F,MAJ06_Utilities_Energy_V,MIN0420,1466 ISIT BSS Supply Chain (SC),US_415_PL_USD,MassAllocation,Receiving,29,Standard Products Company,BRL,USD,450406.4,634.17,0,621.66,0,07/02/2023,04/11/2025,09/24/2025
RNZVT FJN INC,DIR,MASS ALLOC,Capitalized production (PRIM),PA,TechnoGlobal Industries,6310293,MTC,98281C,7956,589,N99_DEPRECIATION_F,MAJ20_Cascade_DEPRECIATION_F,MIN0511,1432 ISIT Region Direction,US_415_PL_USD,Spreadsheet,Receiving,8,Advanced Materials Group,MXN,CAD,527240.23,0.56,0,564.02,0,01/17/2024,07/24/2024,07/22/2025
SVIZY JZY INC,IN,Communications,Taxes,GL,Nexus Enterprise Holdings,6448105,DDD,14700A,7956,407,N88_CESSIONS_DORD,MAJ02_Prod_Maint_Wages_V,MIN1630,1466 ISIT BSS Supply Chain (SC),US_415_PL_USD,Cost Management,Purchase Invoices,49,Strategic Industries Inc,BRL,USD,334940.09,246.34,0,37.18,0,03/30/2025,08/02/2025,09/19/2025
QHMUA NKR INC,BSS,AFFILIATE,Taxes,PO,Meridian Solutions Corp,6458200,RIO,14480B,7956,409,N97_FE_F,MAJ20_Cascade_FE_F,MIN2071,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_MXN,Receivables,Misc Receipts,3,Progressive Technologies,GBP,MXN,651243.01,101.08,0,617.93,0,03/15/2023,10/18/2023,12/11/2024
YXSHL ZEO INC,IN,GOSM,Telecom Data,INV,TechnoGlobal Industries,6448715,LAV,14660A,7956,511,N87_FE_F,MAJ09_Travel_F,MIN2076,1466 ISIT BSS Supply Chain (SC),MX_839_PL_MXN,Projects,GL_Payroll,6,Modern Solutions LLC,BRL,MXN,182806.57,5.52,0,577.39,0,06/24/2024,06/28/2024,06/13/2025
