Transaction_ID,Date_Key,Customer_ID,Employee_ID,Product_ID,Project_ID,Sales_Amount,Quantity,Unit_Price,Discount_Percent,Revenue_Amount,Cost_Amount,Profit_Amount,Sales_Channel,Region,Currency
TXN001,20240115,CUST001,EMP001,PROD001,PROJ001,125000,10,12500,0,125000,87500,37500,Direct Sales,North America,EUR
TXN002,20240115,CUST002,EMP002,PROD002,PROJ002,85000,5,17000,5,80750,59500,21250,Online,Europe,EUR
TXN003,20240118,CUST003,EMP001,PROD003,PROJ001,95000,8,11875,0,95000,66500,28500,Direct Sales,North America,EUR
TXN004,20240122,CUST004,EMP014,PROD001,PROJ001,75000,6,12500,10,67500,52500,15000,Partner,Asia Pacific,EUR
TXN005,20240125,CUST005,EMP002,PROD004,PROJ002,110000,12,9167,0,110000,79200,30800,Online,Europe,EUR
TXN006,20240129,CUST006,EMP015,PROD002,PROJ002,65000,4,16250,8,59800,45500,14300,Direct Sales,North America,EUR
TXN007,20240201,CUST007,EMP001,PROD005,PROJ010,135000,15,9000,0,135000,94500,40500,Direct Sales,North America,EUR
TXN008,20240205,CUST008,EMP002,PROD001,PROJ002,92000,7,13143,5,87400,64400,23000,Online,Europe,EUR
TXN009,20240208,CUST009,EMP014,PROD003,PROJ010,88000,9,9778,0,88000,61600,26400,Partner,Asia Pacific,EUR
TXN010,20240212,CUST010,EMP015,PROD006,PROJ002,78000,6,13000,12,68640,54600,14040,Direct Sales,North America,EUR
TXN011,20240215,CUST011,EMP001,PROD002,PROJ001,105000,8,13125,0,105000,73500,31500,Direct Sales,North America,EUR
TXN012,20240219,CUST012,EMP002,PROD007,PROJ011,120000,10,12000,7,111600,84000,27600,Online,Europe,EUR
TXN013,20240222,CUST013,EMP014,PROD004,PROJ010,98000,11,8909,0,98000,68600,29400,Partner,Asia Pacific,EUR
TXN014,20240226,CUST014,EMP015,PROD001,PROJ002,82000,6,13667,5,77900,57400,20500,Direct Sales,North America,EUR
TXN015,20240229,CUST015,EMP001,PROD008,PROJ019,145000,18,8056,0,145000,101500,43500,Direct Sales,North America,EUR
TXN016,20240305,CUST016,EMP002,PROD003,PROJ011,89000,8,11125,6,83640,62300,21340,Online,Europe,EUR
TXN017,20240308,CUST017,EMP014,PROD009,PROJ010,115000,12,9583,0,115000,80500,34500,Partner,Asia Pacific,EUR
TXN018,20240312,CUST018,EMP015,PROD002,PROJ002,73000,5,14600,8,67160,51100,16060,Direct Sales,North America,EUR
TXN019,20240315,CUST019,EMP001,PROD010,PROJ019,128000,14,9143,0,128000,89600,38400,Direct Sales,North America,EUR
